bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,122.0,18.0,104.0,14.754098360655737,85.24590163934427,122.0,18.0,104.0,0.1508169250104734,35.01683501683502,34.86601809182454,0.17307692307692307
2.0,123.0,64.0,59.0,52.03252032520325,47.96747967479675,245.0,82.0,163.0,0.6870548806032677,54.88215488215488,54.19510000155161,0.5030674846625767
3.0,122.0,95.0,27.0,77.8688524590164,22.131147540983605,367.0,177.0,190.0,1.4830330959363218,63.97306397306397,62.49003087712765,0.9315789473684211
4.0,122.0,108.0,14.0,88.52459016393442,11.47540983606558,489.0,285.0,204.0,2.387934645999162,68.68686868686869,66.29893404086953,1.3970588235294117
5.0,123.0,114.0,9.0,92.6829268292683,7.317073170731703,612.0,399.0,213.0,3.343108504398827,71.71717171717172,68.3740632127729,1.8732394366197183
6.0,122.0,110.0,12.0,90.1639344262295,9.836065573770497,734.0,509.0,225.0,4.264767490573942,75.75757575757575,71.4928082670018,2.2622222222222224
7.0,122.0,114.0,8.0,93.44262295081967,6.557377049180332,856.0,623.0,233.0,5.219941348973607,78.45117845117845,73.23123710220484,2.6738197424892705
8.0,123.0,119.0,4.0,96.7479674796748,3.2520325203252014,979.0,742.0,237.0,6.217008797653959,79.79797979797979,73.58097100032583,3.130801687763713
9.0,122.0,114.0,8.0,93.44262295081967,6.557377049180332,1101.0,856.0,245.0,7.172182656053624,82.49158249158249,75.31939983552887,3.4938775510204083
10.0,122.0,116.0,6.0,95.08196721311475,4.918032786885249,1223.0,972.0,251.0,8.144113950565563,84.51178451178451,76.36767056121894,3.8725099601593627
11.0,123.0,117.0,6.0,95.1219512195122,4.878048780487802,1346.0,1089.0,257.0,9.12442396313364,86.53198653198653,77.4075625688529,4.237354085603113
12.0,122.0,119.0,3.0,97.54098360655738,2.4590163934426243,1468.0,1208.0,260.0,10.121491411813992,87.54208754208754,77.42059613027355,4.6461538461538465
13.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,1590.0,1329.0,261.0,11.13531629660662,87.87878787878788,76.74347158218126,5.091954022988506
14.0,122.0,122.0,0.0,100.0,0.0,1712.0,1451.0,261.0,12.157519899455384,87.87878787878788,75.7212679793325,5.559386973180077
15.0,123.0,122.0,1.0,99.1869918699187,0.8130081300813004,1835.0,1573.0,262.0,13.179723502304148,88.21548821548822,75.03576471318408,6.0038167938931295
16.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,1957.0,1694.0,263.0,14.193548387096774,88.55218855218855,74.35864016509178,6.44106463878327
17.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,2079.0,1815.0,264.0,15.2073732718894,88.88888888888889,73.68151561699949,6.875
18.0,123.0,120.0,3.0,97.5609756097561,2.439024390243901,2202.0,1935.0,267.0,16.21281943862589,89.8989898989899,73.68617046036401,7.247191011235955
